Cycle,Class,Precision,Recall,F1-score,Accuracy,Confusion Matrix,Labelled Samples
2,vgood,0.7,0.5384615384615384,0.608695652173913,0.8410404624277457,"[[52, 2, 20, 3], [11, 1, 2, 0], [10, 1, 231, 0], [2, 3, 1, 7]]",288
3,acc,0.7,0.7272727272727273,0.7133757961783439,0.8554913294797688,"[[56, 3, 16, 2], [7, 4, 3, 0], [12, 0, 230, 0], [5, 2, 0, 6]]",338
3,good,0.4444444444444444,0.2857142857142857,0.34782608695652173,0.8554913294797688,"[[56, 3, 16, 2], [7, 4, 3, 0], [12, 0, 230, 0], [5, 2, 0, 6]]",338
3,unacc,0.9236947791164659,0.9504132231404959,0.9368635437881874,0.8554913294797688,"[[56, 3, 16, 2], [7, 4, 3, 0], [12, 0, 230, 0], [5, 2, 0, 6]]",338
3,vgood,0.75,0.46153846153846156,0.5714285714285714,0.8554913294797688,"[[56, 3, 16, 2], [7, 4, 3, 0], [12, 0, 230, 0], [5, 2, 0, 6]]",338
4,acc,0.7349397590361446,0.7922077922077922,0.7625,0.884393063583815,"[[61, 4, 12, 0], [6, 6, 2, 0], [12, 0, 230, 0], [4, 0, 0, 9]]",388
4,good,0.6,0.42857142857142855,0.5,0.884393063583815,"[[61, 4, 12, 0], [6, 6, 2, 0], [12, 0, 230, 0], [4, 0, 0, 9]]",388
4,unacc,0.9426229508196722,0.9504132231404959,0.9465020576131689,0.884393063583815,"[[61, 4, 12, 0], [6, 6, 2, 0], [12, 0, 230, 0], [4, 0, 0, 9]]",388
4,vgood,1.0,0.6923076923076923,0.8181818181818181,0.884393063583815,"[[61, 4, 12, 0], [6, 6, 2, 0], [12, 0, 230, 0], [4, 0, 0, 9]]",388
5,acc,0.7362637362637363,0.8701298701298701,0.7976190476190476,0.8959537572254336,"[[67, 5, 5, 0], [7, 5, 2, 0], [13, 0, 229, 0], [4, 0, 0, 9]]",438
5,good,0.5,0.35714285714285715,0.41666666666666663,0.8959537572254336,"[[67, 5, 5, 0], [7, 5, 2, 0], [13, 0, 229, 0], [4, 0, 0, 9]]",438
5,unacc,0.9703389830508474,0.9462809917355371,0.9581589958158995,0.8959537572254336,"[[67, 5, 5, 0], [7, 5, 2, 0], [13, 0, 229, 0], [4, 0, 0, 9]]",438
5,vgood,1.0,0.6923076923076923,0.8181818181818181,0.8959537572254336,"[[67, 5, 5, 0], [7, 5, 2, 0], [13, 0, 229, 0], [4, 0, 0, 9]]",438
6,acc,0.7555555555555555,0.8831168831168831,0.8143712574850299,0.9104046242774566,"[[68, 4, 5, 0], [7, 7, 0, 0], [12, 0, 230, 0], [3, 0, 0, 10]]",488
6,good,0.6363636363636364,0.5,0.56,0.9104046242774566,"[[68, 4, 5, 0], [7, 7, 0, 0], [12, 0, 230, 0], [3, 0, 0, 10]]",488
6,unacc,0.9787234042553191,0.9504132231404959,0.9643605870020965,0.9104046242774566,"[[68, 4, 5, 0], [7, 7, 0, 0], [12, 0, 230, 0], [3, 0, 0, 10]]",488
